"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"엄마 아빠에게 선물하는 스마트폰 활용 + 챗GPT 무한 꿀팁 36","145993511","https://www.yes24.com/product/goods/145993511","모바일/태블릿/SNS","온선(김은정) 저","골든래빗","2025년 06월","24,000","21,600","10",NA,NA,"6/2(월) 발송예정(예약판매)",NA,NA,NA,315,"Y",NA,NA,NA,NA,NA,"스마트폰은 24시간 엄마 아빠랑 있지만, 우리는 그러지 못한다!그래서 ‘이거 어떻게 하더라?’ 진짜 필요한 스마트폰 꿀팁을 한데 모아서누적조회수 200만 유튜버, 온선이 싹~ 알려준다!카톡으로 송금 보내고 싶은...","https://image.yes24.com/goods/145993511/L"
"레베기의 유튜브 콘텐츠 POWER 법칙","146285291","https://www.yes24.com/product/goods/146285291","모바일/태블릿/SNS","레베기 저","리코멘드","2025년 05월","18,800","16,920","10","10.0","회원리뷰(2건)","5/15(목) 발송예정(예약판매)",NA,NA,NA,240,"Y","Y",NA,NA,NA,NA,"기술자의 콘텐츠 혁명, 레베기가 알려주는 유튜브 비즈니스 전략서“기술만으로 인정받던 시대는 끝났다. 이제는 '어떻게 보여 주느냐'가 더 중요한 시대다.”가죽 공예 유튜브 채널 『레베기의 이상한 아뜰리에 LEB...","https://image.yes24.com/goods/146285291/L"
"아이패드 드로잉으로 기록하는 일상의 조각들","145963641","https://www.yes24.com/product/goods/145963641","모바일/태블릿/SNS","이이오 저","한빛라이프","2025년 05월","22,000","19,800","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1842,NA,"Y",NA,NA,"Y",NA,"디지털 드로잉 기초부터 나만의 작품 완성까지매월 한 장씩, 매 계절 한 작품씩 그려내는 꾸준한 아이패드 드로잉 습관아이패드로 따뜻한 일상과 아날로그 감성을 담아내는 이이오 작가의 두 번째 책이다. 디지털 드...","https://image.yes24.com/goods/145963641/L"
"AI 디지털리터러시 전문가 남기종,장소영의 스마트폰 AI 챗GPT 사용 길라잡이","146361202","https://www.yes24.com/product/goods/146361202","모바일/태블릿/SNS","남기종, 장소영 저","디지털콘텐츠그룹","2025년 05월","18,000","16,200","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,"디지털 시대, 부모님을 위한 맞춤형 AI 활용 가이드본서는 AI 기술이 낯선 액티브 시니어·실버 세대가 쉽고 편리하게 AI를 활용할 수 있도록 기획된 실용 가이드이다. 챗GPT, 구글제미나이, 빅스비, 아숙업 등 다양...","https://image.yes24.com/goods/146361202/L"
"숏폼 영상 편집 제작 및 수익 창출 with 캡컷 · 생성형 AI","145276955","https://www.yes24.com/product/goods/145276955","모바일/태블릿/SNS","채수창 저","앤써북","2025년 05월","13,800","12,420","10","10.0","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2판",NA,2868,NA,NA,NA,NA,NA,NA,"캡컷을 활용해 유튜브 쇼츠, 틱톡, 릴스 등 다양한 플랫폼에 맞는 숏폼 영상 편집·제작부터 수익 창출까지 한 권에 모두 담았다. 2판에서는 숏폼 영상 기획부터 제작까지 전 과정을 생성형 AI를 활용하는 파트를 추...","https://image.yes24.com/goods/145276955/L"
"된다! 하루 5분 아이패드 기록 생활","145390527","https://www.yes24.com/product/goods/145390527","모바일/태블릿/SNS","희나 저","이지스퍼블리싱","2025년 04월","18,000","16,200","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"된다! 시리즈",1860,NA,"Y",NA,NA,NA,NA,"평범하게 흘러가는 일상을 특별한 하루로 만드는 기록의 비밀!시간 관리/기록 전문 유튜버 ‘희나’의 아이패드 하나로 내 인생을 바꾸는 법아이패드로 무엇을 해야 할지 모르겠다면, 이제 나만의 일기장을 만들어 ...","https://image.yes24.com/goods/145390527/L"
"어르신들을 위한 스마트폰 기초교실","145600427","https://www.yes24.com/product/goods/145600427","모바일/태블릿/SNS","디지털콘텐츠그룹 편집부 저","디지털콘텐츠그룹","2025년 04월","16,000","14,400","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2025 개정증보판",NA,318,NA,"Y",NA,NA,"Y",NA,"스마트폰, 배우면 쉬워진다! 어르신을 위한 친절한 스마트폰 활용법『어르신들을 위한 스마트폰 기초교실』은 큰 글씨(A4 크기, 12포인트 글자)로 제작되어 액티브 시니어ㆍ실버 독자분들이 보다 편하게 읽을 수 있...","https://image.yes24.com/goods/145600427/L"
"2025 스마트폰 씹어먹기3 - 생활편 (with AI )","146141606","https://www.yes24.com/product/goods/146141606","모바일/태블릿/SNS","차성혜, 이채영, 이경숙, 오현수, 오수정 저 외 1명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    차성혜
                                                                이채영
                                                                이경숙
                                                                오현수
                                                                오수정
                                                                박현경","BOOKK(부크크)","2025년 04월","23,500","23,500",NA,NA,NA,"6일 이내 (5/17, 토) 출고예정",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,"디지털 기술은 빠르게 발전하고 있으며, 스마트폰은 우리의 일상에서 더욱 중요한 도구가 되었다. 2025년 최신 개정판 『스마트폰 씹어먹기 3권 - 생활편』 은 변화하는 디지털 환경에 맞춰 가장 실용적이고 필수적...","https://image.yes24.com/goods/146141606/L"
"할 수 있다! 스마트폰을 활용한 영상 촬영 편집 with 키네마스터","144554031","https://www.yes24.com/product/goods/144554031","모바일/태블릿/SNS","황점희 저","시대인","2025년 04월","12,000","10,800","10","10.0","회원리뷰(3건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,228,NA,NA,NA,NA,"Y",NA,"스마트폰 이용한 영상 촬영에서 편집, 유튜브 업로드까지!스마트폰을 이용해 사진과 영상을 촬영하고 기본 앱인 포토 에디터와 비디오 에디터를 이용해 사진과 동영상을 편집하는 기본적인 방법을 소개한다. 또한 촬...","https://image.yes24.com/goods/144554031/L"
"유튜브 AI 성공 전략 : 쇼츠로 시작해 수익화까지","143973042","https://www.yes24.com/product/goods/143973042","모바일/태블릿/SNS","강민형 저","디지털북스","2025년 04월","22,000","19,800","10","4.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,2154,NA,"Y",NA,NA,"Y",NA,"AI 시대, 쇼츠와 유튜브로 나만의 성공 스토리를 만들자!AI 시대를 맞아 누구나 손쉽게 유튜브 크리에이터가 될 수 있는 시대가 열렸다. 『유튜브 AI 성공 전략: 쇼츠로 시작해 수익화까지』는 13만 명의 구독자를 ...","https://image.yes24.com/goods/143973042/L"
"처음이지만 프로처럼 쓰는 노션(Notion)","143880438","https://www.yes24.com/product/goods/143880438","모바일/태블릿/SNS","박한용 저","디지털북스","2025년 04월","22,000","19,800","10","10.0","회원리뷰(8건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,4491,NA,"Y",NA,NA,"Y","Y","핵심 기능 설명과 실습 템플릿과, 부수익으로 이어질 수 있는 수익화 방법까지처음이지만 프로처럼 사용할 수 있는 노션 설명서노션은 메모, 프로젝트 관리, 자료 수집 등 다양한 용도로 활용할 수 있는 최고의 생산...","https://image.yes24.com/goods/143880438/L"
"된다! 조회수 터지는 유튜브 쇼츠 만들기","143907967","https://www.yes24.com/product/goods/143907967","모바일/태블릿/SNS","최지영 저","이지스퍼블리싱","2025년 04월","22,000","19,800","10","10.0","회원리뷰(23건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"된다! 시리즈",20628,NA,"Y",NA,NA,"Y","Y","‘떡상’하는 기획부터 챗GPT, 브루, 캡컷을 활용한 영상 제작까지!첫 영상부터 조회수 터지는 유튜브 쇼츠 전략 대공개제2의 월급을 만들어 주는 수익화 방법도 꾹꾹 눌러 담았다!“유튜브를 하면 좋다는 건 아는데...","https://image.yes24.com/goods/143907967/L"
"아이패드 디지털 캘리그라피 N잡러 되기","143513509","https://www.yes24.com/product/goods/143513509","모바일/태블릿/SNS","우연주 저","아티오","2025년 03월","19,500","17,550","10","10.0","회원리뷰(7건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,606,NA,"Y",NA,NA,NA,NA,"디지털 캘리그라피의 모든 것쉽고 빠르게 배우는 디지털 캘리그라피, 손글씨의 새로운 세계로!디지털 시대, 감성을 담은 손글씨와 드로잉을 배우고 싶은 사람들을 위한 맞춤형 가이드북! 『아이패드 디지털 캘리그라...","https://image.yes24.com/goods/143513509/L"
"스마트폰 완벽 가이드","144080995","https://www.yes24.com/product/goods/144080995","모바일/태블릿/SNS","최신만 저","디지털콘텐츠그룹","2025년 03월","20,000","18,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,126,NA,"Y",NA,NA,NA,NA,"시니어의 손안에 펼쳐지는 스마트한 세상,이제 쉽게 시작하세요!대한민국 국민 수보다 많은 5,450만 대의 이동전화. 이동전화 가입자 수 5,450만대! 이 책은 대한민국 시니어·실버 세대를 위해 제작된 스마트폰 활용...","https://image.yes24.com/goods/144080995/L"
"스마트폰 완전정복","144080810","https://www.yes24.com/product/goods/144080810","모바일/태블릿/SNS","임선강 저","디지털콘텐츠그룹","2025년 03월","20,000","18,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,"시니어의 손안에 펼쳐지는 스마트한 세상,이제 쉽게 시작하세요!대한민국 국민 수보다 많은 5,450만 대의 이동전화. 이동전화 가입자 수 5,450만대! 이 책은 대한민국 시니어·실버 세대를 위해 제작된 스마트폰 활용...","https://image.yes24.com/goods/144080810/L"
"스마트폰 내 손안의 세상으로","144080643","https://www.yes24.com/product/goods/144080643","모바일/태블릿/SNS","김숙 저","디지털콘텐츠그룹","2025년 03월","20,000","18,000","10",NA,NA,NA,NA,NA,NA,66,NA,"Y","품절",NA,NA,NA,"이번에 출간하는 책은 16년 동안 뉴미디어 마케팅 교육(스마트폰, SNS마케팅 등)을 해오고 있는 ㈜디지털콘텐츠그룹에서 액티브 시니어ㆍ실버 세대가 더욱 즐겁고 편리하게 스마트폰을 활용할 수 있도록, 시니어 눈...","https://image.yes24.com/goods/144080643/L"
"2025 부모님을 위한 스마트폰 교과서","144080200","https://www.yes24.com/product/goods/144080200","모바일/태블릿/SNS","이정화, 한덕호, 이청기, 백세균 저","디지털콘텐츠그룹","2025년 03월","20,000","18,000","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,657,NA,"Y",NA,NA,"Y",NA,NA,"https://image.yes24.com/goods/144080200/L"
"2025 스마트폰 씹어먹기1 - 기본편 (with AI )","146140604","https://www.yes24.com/product/goods/146140604","모바일/태블릿/SNS","박현경, 오수정, 오현수, 이경숙, 이채영 저 외 1명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    박현경
                                                                오수정
                                                                오현수
                                                                이경숙
                                                                이채영
                                                                차성혜","BOOKK(부크크)","2025년 03월","23,000","23,000",NA,NA,NA,"6일 이내 (5/17, 토) 출고예정",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,"손끝 하나로 달라지는 스마트한 일상!! 스마트폰의 핵심 기능과 활용법을 단계별로 소개하여 학습자 수준에 맞는 교육을 지원한다. 최신 기술과 앱을 실생활에서 바로 적용할 수 있는 노하우를 제시한다. 학습자들이...","https://image.yes24.com/goods/146140604/L"
"아이패드 200% 활용하기","143572141","https://www.yes24.com/product/goods/143572141","모바일/태블릿/SNS","쌤쌤티비, 케이트 저","한빛미디어","2025년 03월","23,000","20,700","10","9.8","회원리뷰(24건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1152,NA,"Y",NA,NA,"Y",NA,"기초적인 아이패드 사용법부터학교생활, 취미 활동, 취업 목표 달성을 위한 생산적인 활용법까지!갓생 살고 싶은 2030을 위한 아이패드 활용서많은 학생과 직장인들이 ‘갓생’을 위해 큰맘 먹고 아이패드를 구매한...","https://image.yes24.com/goods/143572141/L"
"Do it! 스위프트로 아이폰 앱 만들기 입문","143049138","https://www.yes24.com/product/goods/143049138","모바일/태블릿/SNS","송호정, 이범근 저","이지스퍼블리싱","2025년 03월","36,000","32,400","10","9.5","회원리뷰(4건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정8판","이지스퍼블리싱-Do it! 시리즈",492,NA,"Y",NA,NA,"Y","Y","아이폰 앱 개발 분야 1위! 『Do it! 스위프트로 아이폰 앱 만들기 입문』 2025년 최신판 출간!아이폰 앱 개발 분야 1위 도서인 『Do it! 스위프트로 아이폰 앱 만들기 입문』이 최신 버전을 반영하여 전면 개정되었...","https://image.yes24.com/goods/143049138/L"
"쓱 하고 싹 배우는 스마트폰 3nd Edition","142806172","https://www.yes24.com/product/goods/142806172","모바일/태블릿/SNS","김재연 저","영진닷컴","2025년 03월","14,000","12,600","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"영진닷컴-쓱싹 시리즈-20",NA,NA,"Y",NA,NA,NA,NA,"친절한 설명과 재미있는 실습 예제가 큰 그림과 큰 글씨로 담겨 있어누구나 쉽고 빠르게 배울 수 있는 ‘스마트폰 3rd Edition’삶에 중요한 부분을 차지하고 있는 스마트폰! 스마트폰을 좀 더 잘 쓰기 위해서는 기...","https://image.yes24.com/goods/142806172/L"
