"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","used_count","ebook_price","revised_notice","ebook_info","gift_info","description","image_url"
"캔바로 쉽고 빠르게 콘텐츠 디자인하기","146262491","https://www.yes24.com/product/goods/146262491","그래픽/디자인/멀티미디어","권유진, 백은영, 서미경, 송민경, 안은진 저 외 3명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    권유진
                                                                백은영
                                                                서미경
                                                                송민경
                                                                안은진
                                                                윤승희
                                                                정세경
                                                                홍신애","아티오","2025년 05월","18,500","16,650","10","9.8","회원리뷰(10건)","2일 이내 (5/13, 화) 출고예정",NA,NA,"Start up 스타트업 시리즈",5220,NA,"Y",NA,NA,NA,NA,NA,NA,"누구나 디자이너가 되는 시대, 이젠 캔바 하나로 무엇이든 만든다!AI와 디자인이 만난 캔바 활용서, 『캔바로 쉽고 빠르게 콘텐츠 디자인하기』 출간!감성 콘텐츠 디자인을 쉽고 빠르게 배울 수 있는 실전 활용서, ...","https://image.yes24.com/goods/146262491/L"
"선생님을 위한 캔바 수업 활용","146043037","https://www.yes24.com/product/goods/146043037","그래픽/디자인/멀티미디어","김민주 저","앤써북","2025년 05월","18,800","16,920","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,"초ㆍ중ㆍ고등학교 모든 선생님을 위한 캔바 활용 비법서캔바 A to Z까지, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법을 한 번에 다 잡자! 『선생님을 위한 캔바 수업 활용』은 ...","https://image.yes24.com/goods/146043037/L"
"Do it! 오토캐드 2026","145983717","https://www.yes24.com/product/goods/145983717","그래픽/디자인/멀티미디어","박한울 저","이지스퍼블리싱","2025년 05월","29,500","26,550","10","10.0","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"이지스퍼블리싱-Do it! 시리즈",366,NA,"Y",NA,23,NA,NA,"Y",NA,"9년 연속 베스트셀러! 평면도 그리기부터 치수 문제 해결, 오토캐드 AI까지!초보자도 6일이면 설계 도면 그린다!9년 동안 독자의 의견을 꾸준히 반영해 업그레이드한 베스트셀러 『Do it! 오토캐드』가 AI 기능까지 ...","https://image.yes24.com/goods/145983717/L"
"디자인 감각 제대로 키우는 법","145572152","https://www.yes24.com/product/goods/145572152","그래픽/디자인/멀티미디어","가마타 다카시 저/김현미 역","시프트","2025년 05월","19,000","17,100","10","10.0","회원리뷰(4건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,"디자인 읽기-01",1881,NA,"Y",NA,15,NA,NA,"Y",NA,"디자인 감각, 타고나는 걸까?이 책은 ‘나는 감각이 없어…’라며 주눅 들어 본 적 있는 사람을 위한 디자인 교양서다. 디자인을 전공하지 않았거나 이제 막 실무에 발을 들인 신입 디자이너, 디자인이 주업이 아니...","https://image.yes24.com/goods/145572152/L"
"숏폼 영상 편집 제작 및 수익 창출 with 캡컷 · 생성형 AI","145276955","https://www.yes24.com/product/goods/145276955","그래픽/디자인/멀티미디어","채수창 저","앤써북","2025년 05월","13,800","12,420","10","10.0","회원리뷰(5건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2판",NA,2868,NA,NA,NA,NA,NA,NA,NA,NA,"캡컷을 활용해 유튜브 쇼츠, 틱톡, 릴스 등 다양한 플랫폼에 맞는 숏폼 영상 편집·제작부터 수익 창출까지 한 권에 모두 담았다. 2판에서는 숏폼 영상 기획부터 제작까지 전 과정을 생성형 AI를 활용하는 파트를 추...","https://image.yes24.com/goods/145276955/L"
"바로 쓰는 포토샵 & 일러스트레이터 CC 2025","145670756","https://www.yes24.com/product/goods/145670756","그래픽/디자인/멀티미디어","전하린 저","시대인","2025년 05월","25,000","22,500","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,162,NA,"Y",NA,17,NA,NA,"Y",NA,"현직 디자이너가 엄선한 ‘진짜 쓰는 기능’을 바탕으로 포토샵 & 일러스트레이터 CC 2025 완전 정복하기.실무 예제를 따라 하며 핵심 기능과 신기능을 빠르게 학습하고, 생성형 AI 기능으로 디자인의 효율을 극대화...","https://image.yes24.com/goods/145670756/L"
"나 혼자 한다 프리미어 프로 & 애프터 이펙트 CC 2025","145994158","https://www.yes24.com/product/goods/145994158","그래픽/디자인/멀티미디어","김성준, 김두한 저","성안당","2025년 04월","29,000","26,100","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,"개정증보 1판",NA,120,NA,"Y",NA,NA,NA,NA,NA,NA,"혼자서도 쉽게 배우는 프리미어 프로 & 애프터 이펙트 기초 테크닉『나 혼자 한다 프리미어 프로 & 애프터 이펙트 CC 2025』는 프리미어 프로 및 애프터 이펙트를 처음 접하는 초보자를 위해 프로그램 설치와 파일 ...","https://image.yes24.com/goods/145994158/L"
"실전 ComfyUI","145449201","https://www.yes24.com/product/goods/145449201","그래픽/디자인/멀티미디어","우희철 저","디지털북스","2025년 04월","25,000","22,500","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,774,NA,"Y",NA,NA,NA,NA,NA,NA,"ComfyUI로 실현하는 나만의 AI 이미지 워크플로우포토샵을 몰라도 실무에 바로 쓰는 스테이블 디퓨전 활용법이제는 원하는 콘셉트, 스타일, 구도, 색상까지 정확하게 컨트롤할 수 있어야 할 때이다. 『실전 ComfyUI...","https://image.yes24.com/goods/145449201/L"
"폰트랩 타입 디자인","145331896","https://www.yes24.com/product/goods/145331896","그래픽/디자인/멀티미디어","권군오 저","컴원미디어","2025년 04월","38,000","38,000",NA,"10.0","회원리뷰(1건)","2일 이내 (5/13, 화) 출고예정",NA,NA,NA,42,NA,"Y",NA,38,NA,NA,"Y",NA,"폰트랩 프로그램을 이용해 글자 만들기를 시작하려는 사람들을 위한폰트랩 기능 설명과 한글 폰트 제작 기법을 담고 있다『폰트랩 타입 디자인』은 폰트 제작 프로그램인 폰트랩을 이용하여 한글 폰트를 만들려는 사...","https://image.yes24.com/goods/145331896/L"
"CATIA(카티아) 쉽게 따라하기","144048800","https://www.yes24.com/product/goods/144048800","그래픽/디자인/멀티미디어","정경애 저","구민사","2025년 04월","32,000","28,800","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"개정1판/전과목 무료인강",NA,651,NA,"Y",NA,NA,NA,NA,NA,NA,"CATIA는 3D 모델링 프로그램 중 하나로서 주로 항공, 선박, 자동차 설계 등에 많이 활용되고 있는 설계 프로그램이다. 다른 3D 프로그램보다 옵션의 기능이 조금 더 많아서 배우기에는 조금 까다로울 수 있지만 더 ...","https://image.yes24.com/goods/144048800/L"
