"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","used_count","ebook_price","revised_notice","ebook_info","gift_info","description","image_url"
"PHYSICAL AI: 인공지능에 몸을 더하다","146321383","https://www.yes24.com/product/goods/146321383","인공지능","손병희 저","지오북스","2025년 06월","24,000","24,000",NA,NA,NA,"5/15(목) 발송예정(예약판매)",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,"『PHYSICAL AI: 인공지능에 몸을 더하다』는 Maum AI의 독자적인 기술과 AI와 로봇 기술의 미래 전망을 중심으로, AI 로봇이 어떻게 다양한 산업과 사회적 요구에 대응할 수 있는지, 그리고 인간과 공존할 수 있는 ...","https://image.yes24.com/goods/146321383/L"
"『AI 덕분에 오늘도 칼퇴합니다』 박소이 저자 북토크","145417334","https://www.yes24.com/product/goods/145417334","인공지능","박소이","비전코리아","2025년 05월",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"『AI 덕분에 오늘도 칼퇴합니다』 박소이 저자 북토크[행사 상세]1. 일시 : 2025년 5월 30일(금) 오후 2시2. 장소 : 예스24 강서NC점 [서울시 강서구 강서로 56길 17, NC백화점 강서점 8층]3. 신청기간 : ~5/27(화)4...","https://image.yes24.com/goods/145417334/L"
"인공지능과 의식 (큰글자책)","146357427","https://www.yes24.com/product/goods/146357427","인공지능","한정규 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"5/20(화) 발송예정(예약판매)",NA,NA,"인공지능 총서",NA,"Y","Y",NA,NA,NA,NA,NA,NA,"인간의 자각과 기계의 지능이 만나는 지점에서 의식의 본질을 탐구한다. 철학과 과학, 기술이 얽힌 이 복잡한 질문은 여전히 우리를 가장 깊은 사유로 이끈다.","https://image.yes24.com/goods/146357427/L"
"인공지능과 의식","146357424","https://www.yes24.com/product/goods/146357424","인공지능","한정규 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"5/20(화) 발송예정(예약판매)",NA,NA,"인공지능 총서",NA,"Y","Y",NA,NA,NA,NA,NA,NA,"인간의 자각과 기계의 지능이 만나는 지점에서 의식의 본질을 탐구한다. 철학과 과학, 기술이 얽힌 이 복잡한 질문은 여전히 우리를 가장 깊은 사유로 이끈다.","https://image.yes24.com/goods/146357424/L"
"AI와 생성 음악 (큰글자책)","146357417","https://www.yes24.com/product/goods/146357417","인공지능","최영신 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"5/20(화) 발송예정(예약판매)",NA,NA,"인공지능 총서",NA,"Y","Y",NA,NA,NA,NA,NA,NA,"생성형 AI 기술이 음악 창작과 소비의 방식을 어떻게 바꾸고 있는지를 짚는다. 기술의 발전이 열어젖힌 창작의 문, 그 안에서 인간은 여전히 주체일 수 있을까?","https://image.yes24.com/goods/146357417/L"
"AI와 생성 음악","146357413","https://www.yes24.com/product/goods/146357413","인공지능","최영신 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"5/20(화) 발송예정(예약판매)",NA,NA,"인공지능 총서",NA,"Y","Y",NA,NA,NA,NA,NA,NA,"생성형 AI 기술이 음악 창작과 소비의 방식을 어떻게 바꾸고 있는지를 짚는다.","https://image.yes24.com/goods/146357413/L"
"비전공자도 이해할 수 있는 챗GPT","146290174","https://www.yes24.com/product/goods/146290174","인공지능","박상길 저/정진호 그림","비즈니스북스","2025년 05월","19,500","17,550","10",NA,NA,"5/15(목) 발송예정(예약판매)",NA,NA,NA,60,"Y","Y",NA,NA,NA,NA,NA,NA,"인류 역사상 가장 중요한 기술 챗GPT에 대해AI · LLM 전문가의 통찰과 IT 전문 일러스트레이터의 그림으로 풀어낸세상에서 가장 이해하기 쉬운 챗GPT 교양서!챗GPT는 단순한 기술을 넘어 이제 우리 일상과 산업 전반...","https://image.yes24.com/goods/146290174/L"
"세계 최고 AI 전문가가 되는 111가지 원칙","146280341","https://www.yes24.com/product/goods/146280341","인공지능","김병완 저","플랫폼연구소","2025년 05월","22,000","19,800","10","10.0","회원리뷰(1건)","5/20(화) 발송예정(예약판매)",NA,NA,NA,60,"Y",NA,NA,17,NA,NA,"Y",NA,"AI 시대, 소비자가 아닌 창조자가 되어야 할 이유지금, 우리는 인류 역사상 가장 거대한 전환점 위에 서 있다. 인공지능이라는 이름의 새로운 문명이 눈앞에 펼쳐졌고, 인간은 선택해야 할 시점에 와 있다. 소비자로...","https://image.yes24.com/goods/146280341/L"
"AI와 버추얼 휴먼 비즈니스 (큰글자책)","146309483","https://www.yes24.com/product/goods/146309483","인공지능","이창준, 원종서, 송유상 저","커뮤니케이션북스","2025년 05월","25,000","25,000",NA,NA,NA,"5/15(목) 발송예정(예약판매)",NA,NA,"인공지능 총서",NA,"Y","Y",NA,NA,NA,NA,NA,NA,"생성형 AI의 발전은 산업 전반의 디지털 전환을 가속하며, 버추얼 휴먼은 그 중심 기술로 부상하고 있다. CG 기반을 넘어 광고, 유튜버, 홈쇼핑 등 실질 비즈니스에 활용되며, 대기업과 스타트업이 협력하는 디지털 ...","https://image.yes24.com/goods/146309483/L"
"AI와 버추얼 휴먼 비즈니스","146309480","https://www.yes24.com/product/goods/146309480","인공지능","송유상, 원종서, 이창준 저","커뮤니케이션북스","2025년 05월","12,000","12,000",NA,NA,NA,"5/16(금) 발송예정(예약판매)",NA,NA,"인공지능 총서",NA,"Y","Y",NA,NA,NA,NA,NA,NA,"생성형 AI의 발전은 산업 전반의 디지털 전환을 가속하며, 버추얼 휴먼은 그 중심 기술로 부상하고 있다. CG 기반을 넘어 광고, 유튜버, 홈쇼핑 등 실질 비즈니스에 활용되며, 대기업과 스타트업이 협력하는 디지털 ...","https://image.yes24.com/goods/146309480/L"
