"category","goods_no","title","subtitle","author","author_url","publisher","publisher_url","publish_date","discount_rate","price_discount","price_original","point","review_count","review_score","sale_count","sale_status","event_title","event_period","tag","used_count","ebook_exist","ebook_price","preview_exist","revised_info","image_url","detail_url","delivery_info","description"
"인터넷 비즈니스","145993511","엄마 아빠에게 선물하는 스마트폰 활용 + 챗GPT 무한 꿀팁 36","갤럭시, AI, 챗GPT, 등본 발급, 카카오톡, 송금, 선물하기, 쿠팡, 배달 주문, 번역, 카메라/사진, 길찾기까지","온선(김은정)","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2598%25A8%25EC%2584%25A0(%25EA%25B9%2580%25EC%259D%2580%25EC%25A0%2595)&authorNo=493785&author=온선(김은정)","골든래빗","https://www.yes24.com/product/search?&domain=ALL&company=%ea%b3%a8%eb%93%a0%eb%9e%98%eb%b9%97&query=%25EA%25B3%25A8%25EB%2593%25A0%25EB%259E%2598%25EB%25B9%2597","2025년 06월","10","21,600","24,000","포인트적립1,200원",NA,NA,"판매지수 315",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/goods/145993511/L","https://www.yes24.com/product/goods/145993511","6/2(월) 발송예정(예약판매)","스마트폰은 24시간 엄마 아빠랑 있지만, 우리는 그러지 못한다!그래서 ‘이거 어떻게 하더라?’ 진짜 필요한 스마트폰 꿀팁을 한데 모아서누적조회수 200만 유튜버, 온선이 싹~ 알려준다!카톡으로 송금 보내고 싶은..."
"인터넷 비즈니스","146262491","캔바로 쉽고 빠르게 콘텐츠 디자인하기",NA,"권유진; 백은영; 서미경; 송민경; 안은진; 윤승희; 정세경; 홍신애","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B6%258C%25EC%259C%25A0%25EC%25A7%2584&authorNo=494208&author=권유진; https://www.yes24.com/product/search?domain=ALL&query=%25EB%25B0%25B1%25EC%259D%2580%25EC%2598%2581&authorNo=494210&author=백은영; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2584%259C%25EB%25AF%25B8%25EA%25B2%25BD&authorNo=460155&author=서미경; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2586%25A1%25EB%25AF%25BC%25EA%25B2%25BD&authorNo=494211&author=송민경; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2595%2588%25EC%259D%2580%25EC%25A7%2584&authorNo=283281&author=안은진; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259C%25A4%25EC%258A%25B9%25ED%259D%25AC&authorNo=494213&author=윤승희; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A0%2595%25EC%2584%25B8%25EA%25B2%25BD&authorNo=494214&author=정세경; https://www.yes24.com/product/search?domain=ALL&query=%25ED%2599%258D%25EC%258B%25A0%25EC%2595%25A0&authorNo=494215&author=홍신애","아티오","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%84%ed%8b%b0%ec%98%a4&query=%25EC%2595%2584%25ED%258B%25B0%25EC%2598%25A4","2025년 05월","10","16,650","18,500","포인트적립920원","10","9.8","판매지수 5,220",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/146262491/L","https://www.yes24.com/product/goods/146262491","2일 이내 (5/13, 화) 출고예정","누구나 디자이너가 되는 시대, 이젠 캔바 하나로 무엇이든 만든다!AI와 디자인이 만난 캔바 활용서, 『캔바로 쉽고 빠르게 콘텐츠 디자인하기』 출간!감성 콘텐츠 디자인을 쉽고 빠르게 배울 수 있는 실전 활용서, ..."
"인터넷 비즈니스","146043037","선생님을 위한 캔바 수업 활용","캔바 A to Z, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법","김민주","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EB%25AF%25BC%25EC%25A3%25BC&authorNo=493977&author=김민주","앤써북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%a4%ec%8d%a8%eb%b6%81&query=%25EC%2595%25A4%25EC%258D%25A8%25EB%25B6%2581","2025년 05월","10","16,920","18,800","포인트적립940원",NA,NA,"판매지수 1,032",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/goods/146043037/L","https://www.yes24.com/product/goods/146043037","내일 (5/12, 월) 도착예정","초ㆍ중ㆍ고등학교 모든 선생님을 위한 캔바 활용 비법서캔바 A to Z까지, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법을 한 번에 다 잡자! 『선생님을 위한 캔바 수업 활용』은 ..."
"인터넷 비즈니스","146285291","레베기의 유튜브 콘텐츠 POWER 법칙","기술이 콘텐츠가 되고, 콘텐츠가 비즈니스가 되는 유튜브 신분 상승의 모든 것","레베기","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25A0%2588%25EB%25B2%25A0%25EA%25B8%25B0&authorNo=494381&author=레베기","리코멘드","https://www.yes24.com/product/search?&domain=ALL&company=%eb%a6%ac%ec%bd%94%eb%a9%98%eb%93%9c&query=%25EB%25A6%25AC%25EC%25BD%2594%25EB%25A9%2598%25EB%2593%259C","2025년 05월","10","16,920","18,800","포인트적립940원","2","10.0","판매지수 240",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/146285291/L","https://www.yes24.com/product/goods/146285291","5/15(목) 발송예정(예약판매)","기술자의 콘텐츠 혁명, 레베기가 알려주는 유튜브 비즈니스 전략서“기술만으로 인정받던 시대는 끝났다. 이제는 '어떻게 보여 주느냐'가 더 중요한 시대다.”가죽 공예 유튜브 채널 『레베기의 이상한 아뜰리에 LEB..."
"인터넷 비즈니스","146262310","인텐트 마케팅 혁명","검색 데이터로 고객의 욕망과 고민을 읽고 브랜드 성장을 설계하라","박세용; 한초롱; 정길선; 권형우","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25B0%2595%25EC%2584%25B8%25EC%259A%25A9&authorNo=494195&author=박세용; https://www.yes24.com/product/search?domain=ALL&query=%25ED%2595%259C%25EC%25B4%2588%25EB%25A1%25B1&authorNo=494196&author=한초롱; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A0%2595%25EA%25B8%25B8%25EC%2584%25A0&authorNo=494197&author=정길선; https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B6%258C%25ED%2598%2595%25EC%259A%25B0&authorNo=494198&author=권형우","책만","https://www.yes24.com/product/search?&domain=ALL&company=%ec%b1%85%eb%a7%8c&query=%25EC%25B1%2585%25EB%25A7%258C","2025년 05월","10","22,500","25,000","포인트적립1,250원",NA,NA,"판매지수 660",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146262310","5/13(화) 발송예정(예약판매)","고객 인텐트는 새로운 브랜드 성장 전략의 출발점이다!검색 데이터에서 고객의 여정을 읽고 브랜드 전략으로 전환하라!검색 데이터에서 찾은 고객의 숨겨진 고민과 니즈, 브랜드 성장을 위한 해답은?고객 여정부터 S..."
"인터넷 비즈니스","146041188","네이버 스마트스토어 운영하기","돈 한 푼 안 들이고 매출이 터지는","서미진","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2584%259C%25EB%25AF%25B8%25EC%25A7%2584&authorNo=317352&author=서미진","한빛미디어","https://www.yes24.com/product/search?&domain=ALL&company=%ed%95%9c%eb%b9%9b%eb%af%b8%eb%94%94%ec%96%b4&query=%25ED%2595%259C%25EB%25B9%259B%25EB%25AF%25B8%25EB%2594%2594%25EC%2596%25B4","2025년 05월","10","18,900","21,000","포인트적립1,050원","4","10.0","판매지수 960",NA,"『네이버 스마트스토어 운영하기』 기대평 이벤트","(25.05.02 ~ 25.05.13)",NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146041188","5/14(수) 발송예정(예약판매)","스마트스토어, 시작은 했지만 매출이 오르지 않는다면?지금 필요한 건 ‘운영력’이다!스마트스토어는 누구나 쉽게 시작할 수 있지만, 매출이 꾸준히 오르는 스마트스토어는 운영 방식부터 다르다. 상품을 등록했는..."
"인터넷 비즈니스","145276955","숏폼 영상 편집 제작 및 수익 창출 with 캡컷 · 생성형 AI","유튜브 쇼츠부터 틱톡, 릴스, 생성형 AI까지!","채수창","https://www.yes24.com/product/search?domain=ALL&query=%25EC%25B1%2584%25EC%2588%2598%25EC%25B0%25BD&authorNo=345775&author=채수창","앤써북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%a4%ec%8d%a8%eb%b6%81&query=%25EC%2595%25A4%25EC%258D%25A8%25EB%25B6%2581","2025년 05월","10","12,420","13,800","포인트적립690원","5","10.0","판매지수 2,868",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/145276955","내일 (5/12, 월) 도착예정","캡컷을 활용해 유튜브 쇼츠, 틱톡, 릴스 등 다양한 플랫폼에 맞는 숏폼 영상 편집·제작부터 수익 창출까지 한 권에 모두 담았다. 2판에서는 숏폼 영상 기획부터 제작까지 전 과정을 생성형 AI를 활용하는 파트를 추..."
"인터넷 비즈니스","145631654","그림 한 장으로 보는 최신 IT 트렌드(최신개정판)",NA,"Saito Masanori; 김모세","https://www.yes24.com/product/search?domain=ALL&query=Saito%2520Masanori&author=Saito+Masanori; https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EB%25AA%25A8%25EC%2584%25B8&author=%ea%b9%80%eb%aa%a8%ec%84%b8","정보문화사","https://www.yes24.com/product/search?&domain=ALL&company=%ec%a0%95%eb%b3%b4%eb%ac%b8%ed%99%94%ec%82%ac&query=%25EC%25A0%2595%25EB%25B3%25B4%25EB%25AC%25B8%25ED%2599%2594%25EC%2582%25AC","2025년 04월","10","20,700","23,000","포인트적립1,150원","9","10.0","판매지수 60",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/145631654","2일 이내 (5/13, 화) 출고예정","‘이해’에서 ‘실현’으로 가는 가장 빠른 길!ChatGPT를 포함한 생성형 AI, 블록체인, 가상화, 양자컴퓨터 등 빠르게 변화하는 IT 트렌드는 우리의 일상과 비즈니스를 어떻게 바꿀까? 트렌드를 단지 쫓아가는 것이 ..."
"인터넷 비즈니스","145383562","현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!","탐구 질문 생성, 생활기록부 작성(행발, 교과 세특), 갈등 해결 챌린지, 학생 질문 평가, 진로 연계 학생 활동, 학급 경영(좌석 배치)","김요섭; 허영주; 조래정; 정재우","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EC%259A%2594%25EC%2584%25AD&author=%ea%b9%80%ec%9a%94%ec%84%ad; https://www.yes24.com/product/search?domain=ALL&query=%25ED%2597%2588%25EC%2598%2581%25EC%25A3%25BC&author=%ed%97%88%ec%98%81%ec%a3%bc; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A1%25B0%25EB%259E%2598%25EC%25A0%2595&author=%ec%a1%b0%eb%9e%98%ec%a0%95; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A0%2595%25EC%259E%25AC%25EC%259A%25B0&author=%ec%a0%95%ec%9e%ac%ec%9a%b0","광문각출판미디어","https://www.yes24.com/product/search?&domain=ALL&company=%ea%b4%91%eb%ac%b8%ea%b0%81%ec%b6%9c%ed%8c%90%eb%af%b8%eb%94%94%ec%96%b4&query=%25EA%25B4%2591%25EB%25AC%25B8%25EA%25B0%2581%25EC%25B6%259C%25ED%258C%2590%25EB%25AF%25B8%25EB%2594%2594%25EC%2596%25B4","2025년 04월",NA,"15,000","15,000",NA,"21","9.9","판매지수 4,260",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/145383562","내일 (5/12, 월) 도착예정","이 책에서는 ‘내 GPT’로 잘 알려진 ‘GPTs’, 수업용으로 개발된 AI 챗봇 도구인 ‘미조우(Mizou)’, 미성년자도 무료로 활용할 수 있는 AI 도구인 ‘제미나이(Gemini)’의 세 가지 AI 도구를 다루며, AI 챗봇을 ..."
"인터넷 비즈니스","145343581","네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make",NA,"조영빈","https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A1%25B0%25EC%2598%2581%25EB%25B9%2588&authorNo=309043&author=조영빈","디지털북스","https://www.yes24.com/product/search?&domain=ALL&company=%eb%94%94%ec%a7%80%ed%84%b8%eb%b6%81%ec%8a%a4&query=%25EB%2594%2594%25EC%25A7%2580%25ED%2584%25B8%25EB%25B6%2581%25EC%258A%25A4","2025년 04월","10","18,000","20,000","포인트적립1,000원","1","10.0","판매지수 2,868",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/145343581","내일 (5/12, 월) 도착예정","매일 블로그에 글을 작성하지 않아도 블로그 최적화를 이룩할 수 있다!""챗GPT, 재피어(Zapier), 메이크(Make)로 구현하는 블로그마케팅 자동화의 모든 것“국내에서 가장 많은 사람들이 사용하는 블로그인 네이버 블..."
